col,col,col,código_material,preço_real,descrição,qtde_min,bateria_recomendada,kit,tensão_carregador,tensão_nominal_bateria_v,sabres_cm,corrente,velocidade_da_corrente_m_s,peso_kg,s,col,col,col,col
,,,BA02-011-5904,1149,BGA 86 Soprador a bateria,1,AP 300S,Não acompanha bateria ou carregador,-,36,58,780,21,4.6,,,,,
BGA 300,,,,,,,,,,,,,,,,,,,
,,,Código Material,Preço Real,Descrição,Qtde. Min.,Bateria recomendada,Kit,Tensão carregador,Tensão nominal bateria (V),Velocidade do ar [m/s],"Volume de ar
[m³/h]",Autonomia da bateria [min],"Peso 
[kg]",,,,,
,,,BA03-011-5910,4299,BGA 300.1 Soprador a bateria,1,AP,não acompanha as baterias AP.,-,-,86,970,58 usando duas baterias AP 500,7.4,,,,,
,,,6909-400-4300,2289,Adaptador para compartimento duplo da ba,1,,não acompanha as baterias AP.,-,-,-,-,-,,,,,,
Acessórios BGA 300,,,,,,,,,,,,,,,,,,,
,,,Código Material,Preço Real,Descrição,,,,,,,,,,,,,,
,,,0000-790-7700,35.89,Cinto peitoral,,,,,,,,,,,,,,
,,,4282-790-1700,233.88,Tubo do punho,,,,,,,,,,,,,,
,,,4283-710-9100,206.94,Cinturão,,,,,,,,,,,,,,
,,,4244-708-6302,57.1,Bico redondo curvado,,,,,,,,,,,,,,
,,,4282-708-6304,79.96,Bico chato curvado,,,,,,,,,,,,,,
,RMA 235.1,,,,,,,,,,,,,,,,,,
,,,Código Material,Preço Real,Descrição,Qtde. Min.,Bateria recomendada,Kit,Tensão carregador,Tensão nominal bateria (V),Altura de corte (mm),Largura de corte (cm),Capacidade do coletor (litros),"Peso 
[kg]",,,,,
,,,6311-011-1417,1569,RMA 235.1 (RoW) Cortador de grama a bateria,1,AK 20,Não acompanha bateria ou carregador,-,36,25 - 65,33,30,14,,,,,
RMA 460,,,,,,,,,,,,,,,,,,,
,,,Código Material,Preço Real,Descrição,Qtde. Min.,Bateria recomendada,Kit,Tensão carregador,Tensão nominal bateria (V),Largura de corte (cm),Altura de corte (mm),Capacidade do coletor (litros),"Peso 
[kg]",,,,,
,,,6368-011-1402,2959,RMA 460 Cortador de grama a bateria,1,AK 30,Não acompanha bateria ou carregador,-,36,46,35-90,60,25,,,,,
RMA 460 V - tracionado,,,,,,,,,,,,,,,,,,,
,,,Código Material,Preço Real,Descrição,Qtde. Min.,Bateria recomendada,Kit,Tensão carregador,Tensão nominal bateria (V),Largura de corte (cm),Altura de corte (mm),Capacidade do coletor (litros),"Peso 
[kg]",,,,,
,,,6368-011-1412,3669,RMA 460.0 V Cortador de grama a bateria,1,AK 30,Não acompanha bateria ou carregador,-,36,46,25-100,60,28,,,,,
RMA 353,,,,,,,,,,,,,,,,,,,
,,,Código Material,Preço Real,Descrição,Qtde. Min.,Bateria recomendada,Kit,Tensão carregador,Tensão nominal bateria (V),Largura de corte (cm),Altura de corte (mm),Capacidade do coletor (litros),"Peso 
[kg]",S,T,IPI,NCM-Classif. Fiscal,Cod. Barras
,,,WA32-011-1410,3159,RMA 353.0 Cortador de grama a bateria,1,AP 300 S,Não acompanha bateria ou carregador,-,36,51,25-100,60,27,1,0,3.25,84331100,886661737352
RMA 353 V,,,,,,,,,,,,,,,,,,,
,,,Código Material,Preço Real,Descrição,Qtde. Min.,Bateria recomendada,Kit,Tensão carregador,Tensão nominal bateria (V),Largura de corte (cm),Altura de corte (mm),Capacidade do coletor (litros),"Peso 
[kg]",S,T,IPI,NCM-Classif. Fiscal,Cod. Barras
,,,WA32-011-1430,4189,RMA 353.0 V Cortador de grama a bateria,1,AP 300 S,Não acompanha bateria ou carregador,-,36,51,25-100,60,30,1,0,3.25,84331100,886661738922
TSA 230.1,,,,,,,,,,,,,,,,,,,
,,,Código Material,Preço Real,Descrição,Qtde. Min.,Bateria recomendada,Kit,Motor,Potência elétrica [kW],Potência mecânica [kW],Tensão da bateria [V],Autonomia da bateria [min],"Peso 
[kg]",S,T,IPI,NCM-Classif. Fiscal,Cod. Barras
,,,4864-011-6620,4499,TSA 230.1 Cortador a disco a bateria,1,AP 300S,Não acompanha bateria ou carregador,EC,2.1,1.6,3.9,20,3.9,1,10,5.2,84672999,886661733552
HTA 50,,,,,,,,,,,,,,,,,,,
,,,Código Material,Preço Real,Descrição,Qtde. Min.,Bateria recomendada,Kit,Tensão carregador,Tensão nominal bateria (V),Alcance haste [cm],Sabres (cm),Corrente,"Peso 
[kg]",S,T,IPI,NCM-Classif. Fiscal,Cod. Barras
,,,LA02-011-6403,2199,"HTA 50.0 1/4""P Moto-poda a bateria",1,AK 20,Não acompanha bateria ou carregador,-,36,280,25,"PM3 -1/4""",3.6,1,10,5.2,84672200,886661624430
,,,Código Material,Preço Real,Descrição,Qtde. Min.,Modelo,,,,,,,,S,T,IPI,NCM - Classif. Fiscal,Código Barras 
,,,LA02-820-5000,273.96,"Extensão 0,5 m",1,HTA50,,,,,,,,1,10,5.2,84679100,886661879632
HTA 86,,,,,,,,,,,,,,,,,,,
,,,Código Material,Preço Real,Descrição,Qtde. Min.,Bateria recomendada,Kit,Tensão carregador,Tensão nominal bateria (V),Alcance haste telescópica [cm],Sabres (cm),Corrente,"Peso 
[kg]",S,T,IPI,NCM-Classif. Fiscal,Cod. Barras
,,,LA03-200-0010,3699,"HTA 86 Moto-poda a bateria,30cm/12""",1,AP 300S,Não acompanha bateria ou carregador,-,36,270 - 390,30,"1,1 PM3 - 1/4""",4.5,1,10,5.2,84672200,886661618941
HTA 135,,,,,,,,,,,,,,,,,,,
,,,Código Material,Preço Real,Descrição,Qtde. Min.,Bateria recomendada,Kit,Tensão carregador,Tensão nominal bateria (V),Alcance haste telescópica [cm],Sabres (cm),Corrente,"Peso 
[kg]",S,T,IPI,NCM-Classif. Fiscal,Cod. Barras
