código_material,preço_real,descrição,modelos_compativeis
0000-967-1500,12.58,Logotipo de poliamida STIHL,MS210/230/250/039-Antiga
0000-967-1593,12.58,Etiqueta de identificação Magnum,MS461
0000-967-2035,10.08,Logotipo,MS025/036/039/046/460/066/FS160/220/280/
0000-967-3447,10.08,Etiqueta auto-adesiva Número da máquina,MSA120/140/BGA56
0000-967-3453,10.08,Etiqueta auto-adesiva,RMA370
0000-967-3454,10.08,Etiqueta auto-adesiva,RMA510/WP300/600/MH610/710/GR40.0/GR60.0/GR80.0
0000-967-3506,9.18,Plaqueta de alumínio,MS08/P835/840/TS350
0000-967-3631,10.08,Etiqueta auto-adesiva BG,BG86
0000-967-3701,10.08,Indicação de advertência pictograma BR,SR400/420
0000-967-3703,10.09,Etiqueta autoadesiva ind. advertência BT,BT121
0000-967-3706,10.08,Etiqueta autoadesiva ind. de advertência,FSA65
0000-967-3723,23.72,Etiqueta auto-adesiva,RE107/142
0000-967-3730,10.08,Indicação de advertência pictograma,HLImpl/SP10
0000-967-3745,23.16,Etiqueta auto-adesiva,RE107/142
0000-967-3759,10.08,Indicação de advertência pictograma TS,TS800
0000-967-3765,68.55,Indicação de advertência pictograma RE,RE107/108/109/142/143
0000-967-3799,10.08,Indicação de advertência pictograma TS,TS420
0000-967-3907,10.08,Etiqueta de advertencia,BG86/BR430/SR430/450
0000-967-4000,10.08,Plaqueta instrutiva,TS420
0000-967-4006,10.08,Indicação de advertência pictograma BGE,BGE71
0000-967-4023,10.08,Indicação de advertência pictograma FSA,FSA65
0000-967-4043,10.08,Indicação de advertência pictograma BGA,BGA
0000-967-4045,10.08,Indicação de advertência pictogram BR,BR430
0000-967-4065,10.08,Plaqueta instrutiva Tela contra faíscas,TS420/500i/HS82R
0000-967-7206,9.19,Indicação de alerta,HSE61
0000-967-7229,10.08,Indicação de advertência pictogram RMA,RMA370
0000-967-7231,9.19,Indicação de advertência pictograma FSE,FSE
0000-967-7233,9.18,Indicação de advertência pictogram FSE,FSE41
0000-967-7242,10.08,Indicação de advertência pictogram,RMA/KM
0000-967-7247,10.08,Indicação de advertência pictogram MS,MS210/230/250/361/462/651/661
0000-967-7250,10.08,Indicação de advertência pictogram MS,MS170
0000-967-7253,10.08,Indicação de advertência pictograma FS,FS120/160/220/250/280/300/350/FR220/350/KA85R/KA120
0000-967-7257,10.08,Indicação de advertência pictogram,MS193T/194T
0000-967-7263,10.08,Indicação de advertência pictogram TSA,TSA230
0000-967-7268,10.08,Indicação de advertência pictograma HS,HS45
0000-967-7271,27.5,Indicação de advertência pictogram,RE88/109
0000-967-7278,10.08,Indicação de advertência pictogram FC,FCS-KM
0000-967-7287,10.08,Indicação de advertência pictogram TS,TS800
0000-967-7289,10.08,Ind. advertência pictograma Tampa tanque,HT133
0000-967-7293,40.16,Indicação de advertência pictogram RE,RE232
0000-967-7294,10.08,Indicação de advertência pictogram HL,HL-KM 145
0000-967-7299,10.09,Indicação de advertência pictogram,HL 145
0000-967-7306,10.09,Indicação de advertência pictogram,USG
0000-967-7319,10.09,Indicação de advertência pictogram HT,HT133
0000-967-7324,10.08,Indicação de advertência pictogram,SP
0000-967-7328,10.08,Indicação de advertência pictogram BG-KM,BG-KM
0000-967-7335,10.08,Indicação de advertência pictogram BR,BR600
